year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,대학교,사립,대학,경북,기존,0000065,대신대학교,1,464,0,408,400,8,87.93,86.21,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000071,동국대학교,2,17995,0,21614,18136,3478,120.11,100.78,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000076,동양대학교,1,4144,0,3995,3769,226,96.4,90.95,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000309,문경대학교,1,832,0,890,783,107,106.97,94.11,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,폐교,0000262,서라벌대학교,1,650,0,633,571,62,97.38,87.85,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000380,선린대학교,1,2215,0,2330,1953,377,105.19,88.17,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000547,성덕대학교,1,1273,0,1602,1224,378,125.84,96.15,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000338,안동과학대학교,1,2628,0,2612,2182,430,99.39,83.03,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경북,기존,0000580,안동대학교,1,5824,0,5862,5549,313,100.65,95.28,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000111,영남대학교,1,18680,0,20457,18592,1865,109.51,99.53,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000112,영남신학대학교,1,460,0,470,429,41,102.17,93.26,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000257,영남외국어대학,1,939,0,503,457,46,53.57,48.67,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000119,위덕대학교,1,3255,0,2999,2852,147,92.14,87.62,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000140,포항공과대학교,1,1280,0,1442,1398,44,112.66,109.22,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000381,포항대학교,1,1857,81,1823,1546,277,102.65,87.05,2026-08-07T09:07:29.731Z
2020,상반기,사이버대학(전문대학),사립,전문대학,경북,기존,0000407,한국복지사이버대학,1,1690,0,1977,1525,452,116.98,90.24,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경북,기존,0000495,한국폴리텍 VI 대학,1,540,0,530,484,46,98.15,89.63,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경북,기존,0000504,한국폴리텍 VI 대학,1,60,0,54,51,3,90,85,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경북,기존,0000146,한동대학교,1,2916,0,3889,3462,427,133.37,118.72,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경북,기존,0000522,호산대학교,1,1776,0,1923,1523,400,108.28,85.75,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000052,광신대학교,1,503,0,514,483,31,102.19,96.02,2026-08-07T09:07:29.731Z
2020,상반기,대학교,특별법법인,대학,광주,기존,0000469,광주과학기술원,1,800,2,739,739,0,92.61,92.61,2026-08-07T09:07:29.731Z
2020,상반기,교육대학,국립,대학,광주,기존,0000196,광주교육대학교,1,1304,0,1364,1271,93,104.6,97.47,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000176,광주대학교,1,6592,0,6963,6549,414,105.63,99.35,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000267,광주보건대학교,1,3243,0,3733,3035,698,115.11,93.59,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000055,광주여자대학교,1,3580,0,3735,3411,324,104.33,95.28,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000273,기독간호대학교,1,444,0,595,423,172,134.01,95.27,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000162,남부대학교,1,2820,0,3053,2602,451,108.26,92.27,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000297,동강대학교,1,3218,0,3133,2767,366,97.36,85.99,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000320,서영대학교,1,4225,0,5221,3947,1274,123.57,93.42,2026-08-07T09:07:29.731Z
