year,school_kind,estb,region,status,school_code_std,school_name,total_enrolled,special_city_count,special_city_ratio,small_city_etc_count,small_city_etc_ratio,metro_count,metro_ratio,wide_city_count,wide_city_ratio,small_city_count,small_city_ratio,town_special_other_count,town_special_other_ratio,uploaded_at
2026,대학교,사립,경기,기존,0000082,단국대학교,2668,779,29.2,1889,70.8,500,18.74,279,10.46,1512,56.67,377,14.13,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0002726,단국대학교_제2캠퍼스,2460,779,31.7,1681,68.3,392,15.93,387,15.73,1372,55.77,309,12.56,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000088,대구가톨릭대학교,2788,1252,44.9,1536,55.1,76,2.73,1176,42.18,911,32.68,625,22.42,2026-08-05T22:04:39.152Z
2026,대학교,특별법법인,대구,기존,0000382,대구경북과학기술원,279,121,43.4,158,56.6,18,6.45,103,36.92,144,51.61,14,5.02,2026-08-05T22:04:39.152Z
2026,교육대학,국립,대구,기존,0000253,대구교육대학교,385,164,42.6,221,57.4,13,3.38,151,39.22,148,38.44,73,18.96,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000084,대구대학교,4164,1510,36.3,2654,63.7,77,1.85,1433,34.41,1561,37.49,1093,26.25,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,경북,기존,0000320,대구사이버대학교,155,73,47.1,82,52.9,15,9.68,58,37.42,46,29.68,36,23.23,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000087,대구예술대학교,98,10,10.2,88,89.8,1,1.02,9,9.18,7,7.14,81,82.65,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000061,대구한의대학교,1923,670,34.8,1253,65.2,46,2.39,624,32.45,489,25.43,764,39.72,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000093,대신대학교,910,82,9,828,91,11,1.21,71,7.8,34,3.74,794,87.26,2026-08-05T22:04:39.152Z
2026,대학교,사립,세종,기존,0000094,대전가톨릭대학교,10,2,20,8,80,0,0,2,20,7,70,1,10,2026-08-05T22:04:39.152Z
2026,대학교,사립,대전,기존,0000095,대전대학교,2023,702,34.7,1321,65.3,129,6.38,573,28.32,806,39.84,515,25.46,2026-08-05T22:04:39.152Z
2026,대학교,사립,대전,기존,0000238,대전신학대학교,5,1,20,4,80,0,0,1,20,2,40,2,40,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000097,대진대학교,1959,943,48.1,1016,51.9,881,44.97,62,3.16,677,34.56,339,17.3,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000099,덕성여자대학교,1330,637,47.9,693,52.1,516,38.8,121,9.1,558,41.95,135,10.15,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000101,동국대학교(WISE)_분교,1869,675,36.1,1194,63.9,285,15.25,390,20.87,862,46.12,332,17.76,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000100,동국대학교,3474,1440,41.5,2034,58.5,948,27.29,492,14.16,1395,40.16,639,18.4,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000102,동덕여자대학교,1681,837,49.8,844,50.2,660,39.26,177,10.53,678,40.33,166,9.88,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000235,동명대학교,1611,884,54.9,727,45.1,33,2.05,851,52.82,370,22.97,357,22.16,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000103,동서대학교,2318,1323,57.1,995,42.9,28,1.21,1295,55.87,599,25.84,396,17.09,2026-08-05T22:04:39.152Z
2026,대학교,사립,전남,기존,0000104,동신대학교,1574,692,44,882,56,64,4.07,628,39.9,483,30.69,399,25.34,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000105,동아대학교,4671,2630,56.3,2041,43.7,55,1.18,2575,55.13,1140,24.41,901,19.29,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000106,동양대학교,1088,513,47.2,575,52.8,413,37.96,100,9.19,445,40.9,130,11.96,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000107,동의대학교,4110,2137,52,1973,48,63,1.53,2074,50.46,1197,29.12,776,18.88,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000330,디지털서울문화예술대학교,619,297,48,322,52,155,25.04,142,22.94,220,35.54,102,16.48,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000108,루터대학교,86,34,39.5,52,60.5,28,32.56,6,6.98,45,52.33,7,8.14,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000109,명지대학교,1354,425,31.4,929,68.6,249,18.39,176,13,757,55.91,172,12.7,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000111,명지대학교_제2캠퍼스,1713,683,39.9,1030,60.1,493,28.78,190,11.09,644,37.59,386,22.53,2026-08-05T22:04:39.152Z
2026,대학교,사립,대전,기존,0000112,목원대학교,2118,834,39.4,1284,60.6,90,4.25,744,35.13,785,37.06,499,23.56,2026-08-05T22:04:39.152Z
2026,대학교,사립,전남,기존,0000221,목포가톨릭대학교,135,17,12.6,118,87.4,3,2.22,14,10.37,85,62.96,33,24.44,2026-08-05T22:04:39.152Z
2026,대학교,사립,대전,기존,0000113,배재대학교,2156,697,32.3,1459,67.7,172,7.98,525,24.35,953,44.2,506,23.47,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000178,백석대학교,3193,695,21.8,2498,78.2,329,10.3,366,11.46,1908,59.76,590,18.48,2026-08-05T22:04:39.152Z
