year,school_code_std,school_name,school_division,school_kind,region,estb,school_funds_carryover,school_funds_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,uploaded_at
2020,0000177,중앙승가대학교,대학,대학교,경기,사립,955370,1054983,-53631,,1956722,729658,268.2,2026-08-01T02:42:38.332Z
2020,0000239,중원대학교,대학,대학교,충북,사립,1337287,496672,1538558,,3372516,28085992,12,2026-08-01T02:42:38.332Z
2020,0000187,차의과학대학교,대학,대학교,경기,사립,16596407,30731518,3182860,3000000,53510784,28583866,187.2,2026-08-01T02:42:38.332Z
2020,0000249,창신대학교,대학,대학교,경남,사립,1142386,15750531,41397,,16934314,13467324,125.7,2026-08-01T02:42:38.332Z
2020,0000179,청주대학교,대학,대학교,충북,사립,2459004,241887004,878225,,245224233,88077277,278.4,2026-08-01T02:42:38.332Z
2020,0000246,초당대학교,대학,대학교,전남,사립,1475488,30911400,1800,,32388689,19701845,164.4,2026-08-01T02:42:38.332Z
2020,0000180,총신대학교,대학,대학교,서울,사립,5741829,39520534,112423,27621,45402408,25697682,176.7,2026-08-01T02:42:38.332Z
2020,0000181,추계예술대학교,대학,대학교,서울,사립,-1010177,156578,15892,,-837708,10830626,-7.7,2026-08-01T02:42:38.332Z
2020,0000184,칼빈대학교,대학,대학교,경기,사립,-509388,104165,,,-405224,7057672,-5.7,2026-08-01T02:42:38.332Z
2020,0000079,강서대학교,대학,대학교,서울,사립,324343,2075131,98360,,2497833,9976511,25,2026-08-01T02:42:38.332Z
2020,0000186,평택대학교,대학,대학교,경기,사립,2009618,1848618,585394,,4443630,30298819,14.7,2026-08-01T02:42:38.332Z
2020,0000188,포항공과대학교,대학,대학교,경북,사립,43898996,90524289,32479568,40500000,207402853,23776147,872.3,2026-08-01T02:42:38.332Z
2020,0000189,한국기술교육대학교,대학,대학교,충남,사립,4490854,5795400,9630949,8791134,28708336,19984540,143.7,2026-08-01T02:42:38.332Z
2020,0000247,한국공학대학교,대학,대학교,경기,사립,5543700,6861361,8162589,2003704,22571354,59815790,37.7,2026-08-01T02:42:38.332Z
2020,0000191,한국성서대학교,대학,대학교,서울,사립,19865,224069,47853,,291786,8167635,3.6,2026-08-01T02:42:38.332Z
2020,0000192,한국외국어대학교,대학,대학교,서울,사립,1937855,11789506,5387350,500000,19614711,147333499,13.3,2026-08-01T02:42:38.332Z
2020,0000182,한국침례신학대학교,대학,대학교,대전,사립,980087,25994759,,,26974845,11679118,231,2026-08-01T02:42:38.332Z
2020,0000194,한국항공대학교,대학,대학교,경기,사립,2293800,6410569,8160969,1750000,18615338,37955420,49,2026-08-01T02:42:38.332Z
2020,0000195,한남대학교,대학,대학교,대전,사립,4553871,9181839,3030569,1159862,17926140,84485082,21.2,2026-08-01T02:42:38.332Z
2020,0000196,한동대학교,대학,대학교,경북,사립,4595196,8127644,2980110,,15702950,31647906,49.6,2026-08-01T02:42:38.332Z
2020,0000197,한라대학교,대학,대학교,강원,사립,1005918,39000,591528,,1636446,22979958,7.1,2026-08-01T02:42:38.332Z
2020,0000242,한려대학교,대학,대학교,전남,사립,-10318431,,12824,,-10305607,2734816,-376.8,2026-08-01T02:42:38.332Z
2020,0000198,한림대학교,대학,대학교,강원,사립,8842157,46578784,13207293,3800130,72428364,62686742,115.5,2026-08-01T02:42:38.332Z
2020,0000199,한서대학교,대학,대학교,충남,사립,9634078,2503726,2408404,,14546207,55835506,26.1,2026-08-01T02:42:38.332Z
2020,0000200,한성대학교,대학,대학교,서울,사립,4804613,15471109,3424661,,23700383,55508500,42.7,2026-08-01T02:42:38.332Z
2020,0000201,한세대학교,대학,대학교,경기,사립,980570,35130023,70849,,36181443,24857872,145.6,2026-08-01T02:42:38.332Z
2020,0000202,한신대학교,대학,대학교,경기,사립,2852283,27250822,684010,500000,31287115,37527805,83.4,2026-08-01T02:42:38.332Z
2020,0000203,한양대학교,대학,대학교,서울,사립,27909954,173281216,17735055,2206070,221132295,327516821,67.5,2026-08-01T02:42:38.332Z
2020,0000206,한일장신대학교,대학,대학교,전북,사립,42320,1030852,320334,,1393505,7525306,18.5,2026-08-01T02:42:38.332Z
2020,0000207,협성대학교,대학,대학교,경기,사립,1987276,8224044,456356,,10667676,31335490,34,2026-08-01T02:42:38.332Z
2020,0000208,호남대학교,대학,대학교,광주,사립,19440102,38331970,2687201,,60459273,48697699,124.2,2026-08-01T02:42:38.332Z
2020,0000209,호남신학대학교,대학,대학교,광주,사립,1462180,1045886,151,,2508218,5426029,46.2,2026-08-01T02:42:38.332Z
2020,0000211,호서대학교,대학,대학교,충남,사립,4810240,49615349,15731771,,70157360,105798481,66.3,2026-08-01T02:42:38.332Z
2020,0000212,홍익대학교,대학,대학교,서울,사립,39918928,718409657,8421612,,766750197,195991497,391.2,2026-08-01T02:42:38.332Z
2020,0000284,청운대학교,대학,산업대학,충남,사립,2652697,9900297,910715,100000,13563710,43683333,31.1,2026-08-01T02:42:38.332Z
2020,0000282,호원대학교,대학,산업대학,전북,사립,-914611,975958,108384,,169732,35400654,0.5,2026-08-01T02:42:38.332Z
2020,0000663,개신대학원대학교,대학원대학,전문대학원,서울,사립,3882,,,,3882,653083,0.6,2026-08-01T02:42:38.332Z
2020,0000643,건신대학원대학교,대학원대학,전문대학원,대전,사립,21526,,19310,,40836,1053978,3.9,2026-08-01T02:42:38.332Z
2020,0000668,경안대학원대학교,대학원대학,전문대학원,경북,사립,-14612,,,,-14612,256300,-5.7,2026-08-01T02:42:38.332Z
2020,0002643,계약신학대학원대학교,대학원대학,전문대학원,경기,사립,58822,,,,58822,173260,33.9,2026-08-01T02:42:38.332Z
2020,0002857,구세군사관대학원대학교,대학원대학,특수대학원,경기,사립,183613,368246,,,551858,172800,319.4,2026-08-01T02:42:38.332Z
2020,0000657,국제뇌교육종합대학원대학교,대학원대학,전문대학원,충남,사립,219605,560000,12256,,791861,2220705,35.7,2026-08-01T02:42:38.332Z
2020,0000655,국제법률경영대학원대학교,대학원대학,전문대학원,경기,사립,-2712510,,,,-2712510,1057753,-256.4,2026-08-01T02:42:38.332Z
2020,0000649,수도국제대학원대학교,대학원대학,전문대학원,서울,사립,423987,,,,423987,2195317,19.3,2026-08-01T02:42:38.332Z
2020,0000656,국제언어대학원대학교,대학원대학,전문대학원,서울,사립,68302,,12381,,80683,518397,15.6,2026-08-01T02:42:38.332Z
2020,0002818,능인대학원대학교,대학원대학,전문대학원,경기,사립,47642,,,,47642,498460,9.6,2026-08-01T02:42:38.332Z
2020,0000641,대한신학대학원대학교,대학원대학,전문대학원,경기,사립,-2333194,,,,-2333194,1242644,-187.8,2026-08-01T02:42:38.332Z
2020,0000669,동방문화대학원대학교,대학원대학,전문대학원,서울,사립,362391,,177471,,539862,2805519,19.2,2026-08-01T02:42:38.332Z
2020,0000642,베뢰아국제대학원대학교,대학원대학,전문대학원,서울,사립,201762,,,,201762,226015,89.3,2026-08-01T02:42:38.332Z
2020,0000670,북한대학원대학교,대학원대학,전문대학원,서울,사립,742255,6353975,153016,,7249246,1414283,512.6,2026-08-01T02:42:38.332Z
2020,0000666,서울과학종합대학원대학교,대학원대학,전문대학원,서울,사립,4080460,,1713287,,5793747,9494983,61,2026-08-01T02:42:38.332Z
2020,0000677,서울미디어대학원대학교,대학원대학,특수대학원,서울,사립,3342072,,98153,,3440225,1072733,320.7,2026-08-01T02:42:38.332Z
2020,0000660,서울벤처대학원대학교,대학원대학,전문대학원,서울,사립,2837569,1178866,133042,,4149477,2259400,183.7,2026-08-01T02:42:38.332Z
2020,0000658,서울불교대학원대학교,대학원대학,전문대학원,서울,사립,335003,,,,335003,1660846,20.2,2026-08-01T02:42:38.332Z
2020,0000653,서울사회복지대학원대학교,대학원대학,특수대학원,서울,사립,2265238,2448271,,,4713509,1239918,380.1,2026-08-01T02:42:38.332Z
2020,0000650,서울성경신학대학원대학교,대학원대학,전문대학원,서울,사립,50883,364000,,,414883,475780,87.2,2026-08-01T02:42:38.332Z
2020,0000659,서울외국어대학원대학교,대학원대학,전문대학원,서울,사립,416478,218045,68078,,702600,2941942,23.9,2026-08-01T02:42:38.332Z
2020,0000667,선학유피대학원대학교,대학원대학,전문대학원,경기,사립,647913,2404109,,,3052023,429481,710.6,2026-08-01T02:42:38.332Z
2020,0000644,성산효대학원대학교,대학원대학,전문대학원,인천,사립,32980,3354,,,36334,1353434,2.7,2026-08-01T02:42:38.332Z
2020,0000661,성서침례대학원대학교,대학원대학,전문대학원,경기,사립,249850,1051,,,250900,202435,123.9,2026-08-01T02:42:38.332Z
2020,0000672,실천신학대학원대학교,대학원대학,전문대학원,경기,사립,26593,,,,26593,325817,8.2,2026-08-01T02:42:38.332Z
2020,0000662,에스라성경대학원대학교,대학원대학,전문대학원,경기,사립,50181,350373,,,400554,458945,87.3,2026-08-01T02:42:38.332Z
2020,0000651,예명대학원대학교,대학원대학,전문대학원,서울,사립,321879,,,,321879,1268038,25.4,2026-08-01T02:42:38.332Z
2020,0000654,온석대학원대학교,대학원대학,전문대학원,경기,사립,593696,,,,593696,902520,65.8,2026-08-01T02:42:38.332Z
2020,0000678,서울상담심리대학원대학교,대학원대학,전문대학원,서울,사립,16282089,,,,16282089,1026416,1586.3,2026-08-01T02:42:38.332Z
2020,0000645,원불교대학원대학교,대학원대학,전문대학원,전북,사립,96093,,,,96093,182000,52.8,2026-08-01T02:42:38.332Z
2020,0000646,웨스트민스터신학대학원대학교,대학원대학,전문대학원,경기,사립,1515224,1411254,,,2926478,3025523,96.7,2026-08-01T02:42:38.332Z
