school_code_std,road_address,lot_address,lng,lat,sido,sigungu,geocoded_at
0000162,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교)",경기도 성남시 수정구 양지동 212,127.16478422500646,37.459801381716844,경기도,성남시,2026-08-01T20:12:16.527Z
0000163,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)",서울특별시 서대문구 대현동 11-1,126.94469567036427,37.560311865044184,서울특별시,서대문구,2026-08-01T20:12:16.527Z
0000164,"경상남도 김해시 인제로 197 (어방동, 인제대학교)",경상남도 김해시 어방동 607,128.90190636770552,35.24848399760991,경상남도,김해시,2026-08-01T20:12:16.527Z
0000166,"부산광역시 부산진구 복지로 75 (개금동, 백병원)",부산광역시 부산진구 개금동 633-165,129.02124841973858,35.146158164750744,부산광역시,부산진구,2026-08-01T20:12:16.527Z
0000167,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교,인천광역시 연수구 송도동 193-3,126.66350700778503,37.37262432488312,인천광역시,연수구,2026-08-01T20:12:16.527Z
0000168,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교)",인천광역시 강화군 양도면 도장리 495,126.44660576107611,37.65739205105163,인천광역시,강화군,2026-08-01T20:12:16.527Z
0000169,인천광역시 미추홀구 인하로 100(용현동) 인하대학교,인천광역시 미추홀구 용현동 253-4,126.65015810056178,37.44963903501953,인천광역시,미추홀구,2026-08-01T20:12:16.527Z
0000170,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)",서울특별시 광진구 광장동 353,127.10489916115168,37.54933881597185,서울특별시,광진구,2026-08-01T20:12:16.527Z
0000171,전북특별자치도 전주시 완산구 천잠로 303 (효자동2가),전북특별자치도 전주시 완산구 효자동3가 1203,127.08501643339355,35.81709253287511,전북특별자치도,전주시,2026-08-01T20:12:16.527Z
0000172,전남광주통합특별시 동구 조선대길 146(서석동),전남광주통합특별시 동구 서석동 375,126.93470435417558,35.142739608731404,전남광주통합특별시,동구,2026-08-01T20:12:16.527Z
