year,school_kind,estb,school_division,region,status,school_code_std,school_name,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,uploaded_at
2025,대학교,사립,,서울,기존,0000141,숙명여자대학교,2160,2529,2160,369,2494,2159,335,99.95,98.62,2026-08-07T07:48:15.697Z
2025,각종학교(대학),사립,,충북,기존,0000317,순복음총회신학교,58,58,58,0,40,40,0,68.97,68.97,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000142,순천향대학교,2524,3041,2524,517,2771,2525,246,100.04,91.12,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000143,숭실대학교,2675,3274,2689,585,3263,2683,580,99.78,99.66,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000329,숭실사이버대학교,1650,6633,1650,4983,2203,1188,1015,72,33.21,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000065,신경주대학교,890,886,790,96,661,639,22,80.89,74.6,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000144,신라대학교,1640,2019,1640,379,1727,1539,188,93.84,85.54,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0002712,신한대학교,90,104,90,14,102,90,12,100,98.08,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0002800,신한대학교_제2캠퍼스,1315,1508,1315,193,1482,1315,167,100,98.28,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000145,아신대학교,130,139,130,9,50,50,0,38.46,35.97,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000146,아주대학교,2083,2377,2074,303,2540,2073,467,99.95,106.86,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000147,안양대학교,986,1133,987,146,1063,991,72,100.41,93.82,2026-08-07T07:48:15.697Z
2025,대학교,사립,,인천,기존,0000148,안양대학교_제2캠퍼스,140,142,142,0,142,142,0,100,100,2026-08-07T07:48:15.697Z
