school_code_std,school_name,main_branch,school_type,region,establishment,related_law,corp_name,school_status,school_name_en,road_address,lot_address,zip_code,founded_date,homepage,uploaded_at
0000012,국립목포해양대학교,본교,대학교,전남광주,국립,고등교육법,해당없음,기존,Mokpo National Maritime University,"전남광주통합특별시 목포시 해양대학로 91 (죽교동, 목포해양대학교)",전남광주통합특별시 목포시 죽교동 571,58628,1993-03-01,www.mmu.ac.kr,2026-08-01T19:45:45.673Z
0000013,국립부경대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,Pukyong National University,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",부산광역시 남구 대연동 599-1,48513,1996-07-06,www.pknu.ac.kr,2026-08-01T19:45:45.673Z
0000014,부산대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,Pusan National University,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",부산광역시 금정구 장전동 40,46241,1946-05-15,www.pusan.ac.kr,2026-08-01T19:45:45.673Z
0000019,서울대학교,본교,대학교,서울,국립대법인,특별법국립,서울대학교 법인,기존,Seoul National University,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",서울특별시 관악구 봉천동 244-2,08826,1946-08-22,www.snu.ac.kr,2026-08-01T19:45:45.673Z
0000020,국립순천대학교,본교,대학교,전남광주,국립,고등교육법,해당없음,기존,Sunchon National University,전남광주통합특별시 순천시 중앙로 255 (석현동),전남광주통합특별시 순천시 석현동 313,57922,1982-03-10,www.scnu.ac.kr/SCNU/main.do,2026-08-01T19:45:45.673Z
0000021,국립경국대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,Gyeongguk National University,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",경상북도 안동시 송천동 388,36729,1979-03-12,www.andong.ac.kr/main/index.do,2026-08-01T19:45:45.673Z
0000023,전남대학교,본교,대학교,전남광주,국립,고등교육법,해당없음,기존,Chonnam National University,전남광주통합특별시 북구 용봉로 77 (용봉동),전남광주통합특별시 북구 용봉동 300,61186,1951-10-06,www.chonnam.ac.kr,2026-08-01T19:45:45.673Z
0000024,전남대학교,제2캠퍼스,대학교,전남광주,국립,고등교육법,해당없음,기존,Chonnam National University,"전남광주통합특별시 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스)",전남광주통합특별시 여수시 둔덕동 산 96-1,59626,2006-03-01,www.chonnam.ac.kr,2026-08-01T19:45:45.673Z
0000025,전북대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,Jeonbuk National University,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)",전북특별자치도 전주시 덕진구 덕진동1가 664-14,54896,1951-10-06,www.jbnu.ac.kr,2026-08-01T19:45:45.673Z
0000027,제주대학교,본교,대학교,제주,국립,고등교육법,해당없음,기존,Jeju National University,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)",제주특별자치도 제주시 아라일동 1,63243,1952-05-27,www.jejunu.ac.kr,2026-08-01T19:45:45.673Z
0000028,국립창원대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,Changwon National University,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",경상남도 창원시 의창구 퇴촌동 256,51140,1969-03-21,www.changwon.ac.kr,2026-08-01T19:45:45.673Z
0000029,충남대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,Chungnam National University,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)",대전광역시 유성구 궁동 220,34134,1952-05-25,www.cnu.ac.kr,2026-08-01T19:45:45.673Z
0000030,충북대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,Chungbuk National University,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)",충청북도 청주시 서원구 개신동 12,28644,1951-09-27,www.chungbuk.ac.kr,2026-08-01T19:45:45.673Z
0000031,한국교원대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,Korea National University Of Education,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교)",충청북도 청주시 흥덕구 강내면 월탄리 6,28173,1984-03-15,www.knue.ac.kr,2026-08-01T19:45:45.673Z
0000032,한국체육대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,Korea National Sport University,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)",서울특별시 송파구 방이동 88-15,05541,1976-12-30,www.knsu.ac.kr/,2026-08-01T19:45:45.673Z
0000033,국립한국해양대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,Korea Maritime & Ocean University,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",부산광역시 영도구 동삼동 1,49112,1945-11-05,www.kmou.ac.kr,2026-08-01T19:45:45.673Z
0000034,국립한국교통대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,Korea National University Of Transportation,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",충청북도 충주시 대소원면 검단리 123,27469,1914-04-01,www.ut.ac.kr,2026-08-01T19:45:45.673Z
0000035,경남과학기술대학교,본교,대학교,경남,국립,고등교육법,해당없음,폐교,Gyeongnam National University Of Science And Technology,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",경상남도 진주시 칠암동 150-1,52725,1910-04-30,www.gntech.ac.kr,2026-08-01T19:45:45.673Z
0000036,서울과학기술대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,Seoul National University Of Science And Technology,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",서울특별시 노원구 공릉동 172,01811,2012-03-01,www.seoultech.ac.kr,2026-08-01T19:45:45.673Z
0000037,한경국립대학교,본교,대학교,경기,국립,고등교육법,해당없음,기존,Hankyong National University,"경기도 안성시 중앙로 327 (석정동, 한경대학교)",경기도 안성시 석정동 336,17579,1939-04-15,www.hknu.ac.kr,2026-08-01T19:45:45.673Z
0000039,국립한밭대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,Hanbat National University,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",대전광역시 유성구 덕명동 16-1,34158,2012-03-01,www.hanbat.ac.kr,2026-08-01T19:45:45.673Z
0000040,서울시립대학교,본교,대학교,서울,공립,고등교육법,해당없음,기존,University Of Seoul,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",서울특별시 동대문구 전농동 694,02504,1918-05-01,www.uos.ac.kr,2026-08-01T19:45:45.673Z
0000046,가톨릭대학교,본교,대학교,경기,사립,고등교육법,가톨릭학원,기존,The Catholic University Of Korea,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",경기도 부천시 원미구 소사동 산 3-1,14662,1995-03-01,www.catholic.ac.kr,2026-08-01T19:45:45.673Z
0000048,가톨릭대학교,제2캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,The Catholic University Of Korea,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",서울특별시 서초구 반포동 산 38-2,06591,1995-03-01,www.catholic.ac.kr,2026-08-01T19:45:45.673Z
0000049,가톨릭대학교,제3캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,The Catholic University Of Korea,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",서울특별시 종로구 혜화동 산 1-2,03083,1995-03-01,www.catholic.ac.kr,2026-08-01T19:45:45.673Z
0000050,감리교신학대학교,본교,대학교,서울,사립,고등교육법,감리교신학원,기존,Methodist Theological University,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",서울특별시 서대문구 냉천동 31,03745,1887-09-29,www.mtu.ac.kr,2026-08-01T19:45:45.673Z
