year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2024,하반기,대학교,사립,,충남,기존,0002726,단국대학교_제2캠퍼스,9611,0,9632,8729,903,100.2,90.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충남,기존,0002726,단국대학교_제2캠퍼스,9632,0,10548,9616,932,109.5,99.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000088,대구가톨릭대학교,10871,0,10399,8924,1475,95.7,82.1,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000088,대구가톨릭대학교,10477,0,11320,9516,1804,108,90.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,특별법법인,,대구,기존,0000382,대구경북과학기술원,860,0,801,757,44,93.1,88,2026-08-07T09:07:29.509Z
2025,상반기,대학교,특별법법인,,대구,기존,0000382,대구경북과학기술원,840,0,921,843,78,109.6,100.4,2026-08-07T09:07:29.509Z
2024,하반기,교육대학,국립,,대구,기존,0000253,대구교육대학교,1532,0,1507,1383,124,98.4,90.3,2026-08-07T09:07:29.509Z
2025,상반기,교육대학,국립,,대구,기존,0000253,대구교육대학교,1486,0,1514,1380,134,101.9,92.9,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000084,대구대학교,15553,0,14723,12210,2513,94.7,78.5,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000084,대구대학교,15316,0,15459,13080,2379,100.9,85.4,2026-08-07T09:07:29.509Z
2024,하반기,사이버대학(대학),사립,,경북,기존,0000320,대구사이버대학교,3800,0,3564,2588,976,93.8,68.1,2026-08-07T09:07:29.509Z
2025,상반기,사이버대학(대학),사립,,경북,기존,0000320,대구사이버대학교,3800,0,3212,2176,1036,84.5,57.3,2026-08-07T09:07:29.509Z
