year,school_kind,estb,school_division,region,status,school_code_std,school_name,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,uploaded_at
2022,대학교,사립,대학,울산,기존,0000158,울산대학교,16938,836,4.94,2896,156,5.39,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전북,기존,0000159,원광대학교,18956,1265,6.67,2990,202,6.76,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,전북,기존,0000327,원광디지털대학교,6980,1050,15.04,1509,211,13.98,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000160,위덕대학교,3317,437,13.17,693,133,19.19,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000154,유원대학교,4773,636,13.32,905,136,15.03,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000162,을지대학교_제2캠퍼스,4479,172,3.84,873,51,5.84,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000161,을지대학교,302,1,0.33,49,0,0,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0002911,을지대학교_제3캠퍼스,680,17,2.5,201,10,4.98,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000163,이화여자대학교,18994,476,2.51,3487,220,6.31,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경남,기존,0000164,인제대학교,10615,700,6.59,1540,108,7.01,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,인천,기존,0000168,인천가톨릭대학교,75,7,9.33,12,2,16.67,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,인천,기존,0000167,인천가톨릭대학교_제2캠퍼스,755,39,5.17,162,21,12.96,2026-08-07T10:05:19.852Z
2022,대학교,국립대법인,대학,인천,기존,0002660,인천대학교,15839,595,3.76,2696,204,7.57,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,인천,기존,0000169,인하대학교,24968,790,3.16,4041,276,6.83,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000170,장로회신학대학교,816,35,4.29,155,8,5.16,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,광주,기존,0000023,전남대학교,21481,846,3.94,3676,299,8.13,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,전남,기존,0000024,전남대학교_제2캠퍼스,4165,322,7.73,907,95,10.47,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,전북,기존,0000025,전북대학교,24015,997,4.15,4225,290,6.86,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,전북,기존,0000258,전주교육대학교,1169,43,3.68,303,31,10.23,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전북,기존,0000171,전주대학교,15247,1044,6.85,2677,193,7.21,2026-08-07T10:05:19.852Z
