year,school_code_std,school_name,corp_name,school_division,region,estb,school_status,land_appraised,land_net_income,building_appraised,building_net_income,securities_appraised,securities_net_income,deposit_appraised,deposit_net_income,other_appraised,other_net_income,collateral_deduction,total_appraised,total_net_income,uploaded_at
2025,0000481,부산과학기술대학교,중앙학원,전문대학,부산,사립,기존,9424527,0,0,0,0,0,79779,2569,0,0,0,9504306,2569,2026-08-06T23:37:18.005Z
2025,0000321,부산디지털대학교,동서학원,대학,부산,사립,기존,21673341,0,21214845,1600000,1186000,32400,11212067,60000,0,0,2343900,52942353,1692400,2026-08-06T23:37:18.005Z
2025,0000467,부산보건대학교,석파학원,전문대학,부산,사립,기존,6504419,0,2947025,93643,0,0,0,0,0,0,235000,9216444,93643,2026-08-06T23:37:18.005Z
2025,0000480,부산여자대학교,혜화학원(전문),전문대학,부산,사립,기존,31325999,0,500504,0,0,0,13169280,293425,0,0,0,44995783,293425,2026-08-06T23:37:18.005Z
2025,0000561,부산예술대학교,원곡학원,전문대학,부산,사립,기존,0,0,0,0,0,0,3412259,105422,0,0,1431673,1980586,105422,2026-08-06T23:37:18.005Z
2025,0000115,부산외국어대학교,학교법인 성지학원,대학,부산,사립,기존,9418911,46620,0,0,420378,0,38243567,1348380,0,0,0,48082856,1395000,2026-08-06T23:37:18.005Z
2025,0000222,부산장신대학교,부산장신대학교,대학,경남,사립,기존,1772656,0,404161,10200,0,0,2580347,59800,0,0,0,4757164,70000,2026-08-06T23:37:18.005Z
2025,0000482,부천대학교,한길학원,전문대학,경기,사립,기존,3046969,2300,0,0,6123817,299063,2803660,116068,0,0,0,11974446,417431,2026-08-06T23:37:18.005Z
2025,0000670,북한대학원대학교,심연학원,대학원대학,서울,사립,기존,182562,0,0,0,2200000,63625,7943749,345506,0,0,0,10326311,409131,2026-08-06T23:37:18.005Z
2025,0000332,사이버한국외국어대학교,동원육영회,대학,서울,사립,기존,197418252,1100000,19488551,3830075,14937313,113227,6519822,40829,0,0,10178600,228185338,5084131,2026-08-06T23:37:18.005Z
2025,0000116,삼육대학교,삼육학원,대학,서울,사립,기존,65751218,0,33650854,7947000,0,0,4647989,124305,17855640,0,4300000,117605701,8071305,2026-08-06T23:37:18.005Z
2025,0000483,삼육보건대학교,삼육학원,전문대학,서울,사립,기존,65751218,0,33650854,7947000,0,0,4647989,124305,17855640,0,4300000,117605701,8071305,2026-08-06T23:37:18.005Z
2025,0000117,상명대학교,상명학원,대학,서울,사립,기존,14265563,0,3532413,183381,148006,2263,22288808,924319,0,0,0,40234790,1109963,2026-08-06T23:37:18.005Z
2025,0000119,상지대학교,상지학원,대학,강원,사립,기존,12518545,36000,4019016,322029,41391,0,0,0,0,0,3566666,13012286,358029,2026-08-06T23:37:18.005Z
2025,0000485,상지영서대학교,상지학원,전문대학,강원,사립,폐교,12518545,36000,4019016,322029,41391,0,0,0,0,0,3566666,13012286,358029,2026-08-06T23:37:18.005Z
2025,0000120,서강대학교,서강대학교,대학,서울,사립,기존,47243147,0,22202423,1183989,0,0,1483727,57654,0,0,1503700,69425597,1241643,2026-08-06T23:37:18.005Z
2025,0000121,서경대학교,서경대학원,대학,서울,사립,기존,40498459,0,3545501,970000,0,0,1137258,35406,0,0,1706335,43474883,1005406,2026-08-06T23:37:18.005Z
2025,0002645,서라벌대학교,원석학원,전문대학,경북,사립,폐교,97426223,0,26824678,30094,0,0,311,0,0,0,0,124251212,30094,2026-08-06T23:37:18.005Z
