school_code_std,school_name,main_branch,school_type,establishment,road_address,lot_address,sido,sigungu,lng,lat,geocoded_at
0000078,국민대학교,본교,대학교,사립,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",서울특별시 성북구 정릉동 853-12,서울특별시,성북구,126.99868889098005,37.610050889429544,2026-08-01T20:12:16.527Z
0000549,국제대학교,본교,전문대학,사립,"경기도 평택시 장안웃길 56 (장안동, 국제대학교)",경기도 평택시 장안동 353,경기도,평택시,127.08110607730347,37.06608394423225,2026-08-01T20:12:16.527Z
0002971,군산간호대학교,본교,전문대학,사립,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교)",전북특별자치도 군산시 개정동 413-1,전라북도,군산시,126.7597017626865,35.97044560664327,2026-08-01T20:12:16.527Z
0000432,군장대학교,본교,전문대학,사립,"전라북도 군산시 성산면 군장대길 13 (도암리, 군장대학)",전북특별자치도 군산시 성산면 도암리 608-8,전라북도,군산시,126.78187907173907,35.99923949803075,2026-08-01T20:12:16.527Z
0000080,극동대학교,본교,대학교,사립,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",충청북도 음성군 감곡면 왕장리 85-5,충청북도,음성군,127.64187083878215,37.12825437973703,2026-08-01T20:12:16.527Z
0000224,금강대학교,본교,대학교,사립,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",충청남도 논산시 상월면 상도리 27-14,충청남도,논산시,127.18970700009737,36.306805035566,2026-08-01T20:12:16.527Z
0002972,기독간호대학교,본교,전문대학,사립,"전남광주통합특별시 남구 백서로70번길 6 (양림동, 기독간호대학)",전남광주통합특별시 남구 양림동 67-1,전남광주통합특별시,남구,126.91586886343595,35.13830783313314,2026-08-01T20:12:16.527Z
0000241,김천대학교,본교,대학교,사립,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",경상북도 김천시 삼락동 754-1,경상북도,김천시,128.0787716978901,36.13928796791576,2026-08-01T20:12:16.527Z
0000440,김포대학교,본교,전문대학,사립,경기도 김포시 모담공원로 10 (운양동),경기도 김포시 운양동 1329-9,경기도,김포시,126.67936853293243,37.65143895868772,2026-08-01T20:12:16.527Z
0000569,김해대학교,본교,전문대학,사립,"경상남도 김해시 삼안로112번길 198 (삼방동, 김해대학교)",경상남도 김해시 삼방동 산 77-9,경상남도,김해시,128.9130459189829,35.254141232802176,2026-08-01T20:12:16.527Z
0000081,나사렛대학교,본교,대학교,사립,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",충청남도 천안시 서북구 쌍용동 456,충청남도,천안시,127.11854637419894,36.79552443920029,2026-08-01T20:12:16.527Z
0000435,나주대학교,본교,전문대학,사립,"전남광주통합특별시 나주시 다시면 백호로 125 (복암리, 고구려대학)",전남광주통합특별시 나주시 다시면 복암리 837-8,전남광주통합특별시,나주시,126.64970608226932,35.00700071009095,2026-08-01T20:12:16.527Z
0000216,남부대학교,본교,대학교,사립,전남광주통합특별시 광산구 남부대길 1 (월계동),전남광주통합특별시 광산구 월계동 864-1,전남광주통합특별시,광산구,126.84225845666774,35.20696194458563,2026-08-01T20:12:16.527Z
0000245,남서울대학교,본교,대학교,사립,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",충청남도 천안시 서북구 성환읍 매주리 21,충청남도,천안시,127.14477435445299,36.90734219552042,2026-08-01T20:12:16.527Z
0000441,농협대학교,본교,전문대학,사립,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학)",경기도 고양시 덕양구 원당동 198-201,경기도,고양시,126.8724656906403,37.65862191222455,2026-08-01T20:12:16.527Z
0000082,단국대학교,본교,대학교,사립,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교)",경기도 용인시 기흥구 마북동 655,경기도,용인시,127.12843229915633,37.318038794429754,2026-08-01T20:12:16.527Z
0002726,단국대학교,제2캠퍼스,대학교,사립,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",충청남도 천안시 동남구 안서동 522,충청남도,천안시,127.17178117726732,36.83940318246198,2026-08-01T20:12:16.527Z
0000442,대경대학교,본교,전문대학,사립,"경상북도 경산시 자인면 단북1길 65 (단북리, 대경대학)",경상북도 경산시 자인면 단북리 63,경상북도,경산시,128.8213911453396,35.83427535191274,2026-08-01T20:12:16.527Z
0000088,대구가톨릭대학교,본교,대학교,사립,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",경상북도 경산시 하양읍 금락리 308-5,경상북도,경산시,128.80232594559692,35.91415467692576,2026-08-01T20:12:16.527Z
0000382,대구경북과학기술원,본교,대학교,특별법법인,대구광역시 달성군 현풍읍 테크노중앙대로 333,대구광역시 달성군 현풍읍 상리 953,대구광역시,달성군,128.45625524949338,35.70492624842832,2026-08-01T20:12:16.527Z
0000443,대구공업대학교,본교,전문대학,사립,"대구광역시 달서구 송현로 205 (본동, 대구공업대학)",대구광역시 달서구 본동 830,대구광역시,달서구,128.54391116206432,35.83523328615156,2026-08-01T20:12:16.527Z
0000446,대구과학대학교,본교,전문대학,사립,"대구광역시 북구 영송로 47 (태전동, 대구과학대학)",대구광역시 북구 태전동 산 9-1,대구광역시,북구,128.542763917164,35.92944502200095,2026-08-01T20:12:16.527Z
0000084,대구대학교,본교,대학교,사립,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",경상북도 경산시 진량읍 내리리 15,경상북도,경산시,128.8425529147892,35.903973449336156,2026-08-01T20:12:16.527Z
0000444,대구보건대학교,본교,전문대학,사립,"대구광역시 북구 영송로 15 (태전동, 대구보건대학)",대구광역시 북구 태전동 산 6-6,대구광역시,북구,128.5425521382519,35.92792434453435,2026-08-01T20:12:16.527Z
0000087,대구예술대학교,본교,대학교,사립,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",경상북도 칠곡군 가산면 다부리 861,경상북도,칠곡군,128.5094840925224,36.03218258544183,2026-08-01T20:12:16.527Z
0000061,대구한의대학교,본교,대학교,사립,경상북도 경산시 한의대로 1(유곡동),경상북도 경산시 유곡동 290-1,경상북도,경산시,128.77688515835078,35.79600422377702,2026-08-01T20:12:16.527Z
0000546,대덕대학교,본교,전문대학,사립,"대전광역시 유성구 가정북로 68 (장동, 대덕대학)",대전광역시 유성구 장동 48,대전광역시,유성구,127.36556527968101,36.39132392240991,2026-08-01T20:12:16.527Z
0000447,대동대학교,본교,전문대학,사립,"부산광역시 금정구 동부곡로27번길 88 (부곡동, 대동대학교)",부산광역시 금정구 부곡동 373-4,부산광역시,금정구,129.09591880707904,35.229135872673865,2026-08-01T20:12:16.527Z
0000448,대림대학교,본교,전문대학,사립,"경기도 안양시 동안구 임곡로 29 (비산동, 대림대학교)",경기도 안양시 동안구 비산동 526-7,경기도,안양시,126.93083628524539,37.4043368031484,2026-08-01T20:12:16.527Z
0000093,대신대학교,본교,대학교,사립,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",경상북도 경산시 백천동 137,경상북도,경산시,128.74441639316683,35.80436957106961,2026-08-01T20:12:16.527Z
0000449,대원대학교,본교,전문대학,사립,"충청북도 제천시 대학로 316 (신월동, 대원대학)",충청북도 제천시 신월동 599,충청북도,제천시,128.19062603727787,37.17686499690902,2026-08-01T20:12:16.527Z
0000094,대전가톨릭대학교,본교,대학교,사립,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",세종특별자치시  전의면 신방리 325,,,127.19313166025049,36.655057462682116,2026-08-01T20:12:16.527Z
0000453,대전과학기술대학교,본교,전문대학,사립,"대전광역시 서구 혜천로 100 (복수동, 대전과학기술대학교)",대전광역시 서구 복수동 333,대전광역시,서구,127.37634558477504,36.303475689019756,2026-08-01T20:12:16.527Z
0000095,대전대학교,본교,대학교,사립,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",대전광역시 동구 용운동 96-3,대전광역시,동구,127.46124686737987,36.33638164812804,2026-08-01T20:12:16.527Z
