year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,consolidated_at
2019,사이버대학(대학),사립,대학,대전,기존,0000425,건양사이버대학교,1,3724,270,7.25,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대전,기존,0000376,대덕대학교,1,6227,546,8.77,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대전,기존,0000512,대전과학기술대학교,1,5829,481,8.25,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000067,대전대학교,1,12908,622,4.82,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대전,기존,0000288,대전보건대학교,1,7716,596,7.72,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000182,대전신학대학교,1,116,6,5.17,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000080,목원대학교,1,10675,659,6.17,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000081,배재대학교,1,11089,718,6.47,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000184,우송대학교,1,12782,623,4.87,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,대전,기존,0000289,우송정보대학,1,7268,713,9.81,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000120,을지대학교,2,5824,205,3.52,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,대전,기존,0000020,충남대학교,1,23614,717,3.04,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000551,침례신학대학교,1,1686,76,4.51,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,특별법법인,대학,대전,기존,0000468,한국과학기술원,1,4542,76,1.67,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,대전,기존,0000484,한국폴리텍 IV 대학,1,1579,159,10.07,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대전,기존,0000145,한남대학교,1,16822,891,5.3,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,대전,기존,0000584,한밭대학교,1,12373,760,6.14,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,부산,기존,0000253,경남정보대학교,1,11859,698,5.89,0,0,0,2026-08-07T10:05:19.980Z
