year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,university,0000093,서원대학교,충북,사립,대학,44583303.27,68116753.14,15865836.38,83982589.52,53.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000099,세명대학교,충북,사립,대학,52045574.18,83244127.05,11248669.77,94492796.82,55.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000113,유원대학교,충북,사립,대학,25047224.95,38551706.14,3136048.285,41687754.425,60.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000183,중원대학교,충북,사립,대학,28085992.2,43101199.23,3182072.319,46283271.548999995,60.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000132,청주대학교,충북,사립,대학,88077277.31,122907596.4,12252316.86,135159913.26,65.2,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000347,강릉영동대학교,강원,사립,전문대학,15238041.6,23976779.87,2046898.738,26023678.608000003,58.6,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000378,강원관광대학교,강원,사립,전문대학,4883365.652,8425166.636,313790.799,8738957.435,55.9,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000348,세경대학교,강원,사립,전문대학,4907246.097,9337330.651,334425.029,9671755.68,50.7,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000393,송곡대학교,강원,사립,전문대학,3318440.79,8349219.642,1133037.662,9482257.304,35,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000390,송호대학교,강원,사립,전문대학,5288204.564,8988583.362,516202.751,9504786.113,55.6,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000542,한국골프대학교,강원,사립,전문대학,3206915,4781243.772,88441.042,4869684.814,65.9,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000383,한림성심대학교,강원,사립,전문대학,16792764.91,27751647.93,7234052.995,34985700.925,48,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000387,경기과학기술대학교,경기,사립,전문대학,28527405.92,43046476.38,9575317.338,52621793.718,54.2,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000255,경민대학교,경기,사립,전문대학,28095777.34,44606919.09,9604453.203,54211372.293000005,51.8,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000259,경복대학교,경기,사립,전문대학,39814871.25,68996587.78,12633124.91,81629712.69,48.8,1,Y,2026-08-15T06:33:03.497Z
