year,school_code_std,school_name,school_division,school_kind,estb,status,region,zone,metro,enrolled_total,scale,campus_count
2026,0000042,대구한의대학교,대학,대학교,사립,기존,경북,대경권,비수도권,7610,중규모,1
2026,0000376,대덕대학교,전문대학,전문대학,사립,기존,대전,충청권,비수도권,1973,소규모,1
2026,0000284,대동대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,1533,소규모,1
2026,0000285,대림대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,6733,대규모,1
2026,0000065,대신대학교,대학,대학교,사립,기존,경북,대경권,비수도권,3301,소규모,1
2026,0000286,대원대학교,전문대학,전문대학,사립,기존,충북,충청권,비수도권,2620,중규모,1
2026,0000066,대전가톨릭대학교,대학,대학교,사립,기존,세종,충청권,비수도권,34,소규모,1
2026,0000512,대전과학기술대학교,전문대학,전문대학,사립,기존,대전,충청권,비수도권,4293,대규모,1
2026,0000067,대전대학교,대학,대학교,사립,기존,대전,충청권,비수도권,7812,중규모,1
2026,0000288,대전보건대학교,전문대학,전문대학,사립,기존,대전,충청권,비수도권,4136,대규모,1
2026,0000182,대전신학대학교,대학,대학교,사립,기존,대전,충청권,비수도권,35,소규모,1
2026,0000068,대진대학교,대학,대학교,사립,기존,경기,수도권,수도권,7565,중규모,1
2026,0000070,덕성여자대학교,대학,대학교,사립,기존,서울,수도권,수도권,5441,중규모,1
2026,0000297,동강대학교,전문대학,전문대학,사립,기존,광주,서남권,비수도권,2458,중규모,1
2026,0000071,동국대학교,대학,대학교,사립,기존,서울,수도권,수도권,21584,대규모,2
2026,0000294,동남보건대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,4739,대규모,1
2026,0000072,동덕여자대학교,대학,대학교,사립,기존,서울,수도권,수도권,6884,중규모,1
2026,0000180,동명대학교,대학,대학교,사립,기존,부산,동남권,비수도권,6905,중규모,1
2026,0000073,동서대학교,대학,대학교,사립,기존,부산,동남권,비수도권,8459,중규모,1
2026,0000287,동서울대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,5741,대규모,1
2026,0000074,동신대학교,대학,대학교,사립,기존,전남,서남권,비수도권,6122,중규모,1
2026,0000075,동아대학교,대학,대학교,사립,기존,부산,동남권,비수도권,17790,대규모,1
2026,0000298,동아방송예술대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3070,중규모,1
2026,0000532,동아보건대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,600,소규모,1
2026,0000076,동양대학교,대학,대학교,사립,기존,경북,대경권,비수도권,4276,소규모,1
2026,0000300,동양미래대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,5577,대규모,1
2026,0000342,동원과학기술대학교,전문대학,전문대학,사립,기존,경남,동남권,비수도권,2377,중규모,1
2026,0000302,동원대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,4491,대규모,1
2026,0000303,동의과학대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,4483,대규모,1
2026,0000077,동의대학교,대학,대학교,사립,기존,부산,동남권,비수도권,14433,대규모,1
2026,0000305,두원공과대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,2509,중규모,1
2026,0000078,루터대학교,대학,대학교,사립,기존,경기,수도권,수도권,300,소규모,1
2026,0000306,마산대학교,전문대학,전문대학,사립,기존,경남,동남권,비수도권,5199,대규모,1
2026,0000079,명지대학교,대학,대학교,사립,기존,경기,수도권,수도권,13238,대규모,2
2026,0000307,명지전문대학,전문대학,전문대학,사립,기존,서울,수도권,수도권,6759,대규모,1
2026,0000080,목원대학교,대학,대학교,사립,기존,대전,충청권,비수도권,7646,중규모,1
2026,0000166,목포가톨릭대학교,대학,대학교,사립,기존,전남,서남권,비수도권,474,소규모,1
2026,0000308,목포과학대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,2567,중규모,1
2026,0000309,문경대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,591,소규모,1
2026,0000081,배재대학교,대학,대학교,사립,기존,대전,충청권,비수도권,7665,중규모,1
2026,0000310,배화여자대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,2668,중규모,1
2026,0000131,백석대학교,대학,대학교,사립,기존,충남,충청권,비수도권,11836,대규모,1
2026,0000373,백석문화대학교,전문대학,전문대학,사립,기존,충남,충청권,비수도권,3997,중규모,1
2026,0000311,백제예술대학교,전문대학,전문대학,사립,기존,전북,전북권,비수도권,649,소규모,1
2026,0000082,부산가톨릭대학교,대학,대학교,사립,기존,부산,동남권,비수도권,3327,소규모,1
2026,0000313,부산경상대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,1500,소규모,1
2026,0000315,부산과학기술대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,4301,대규모,1
2026,0000198,부산교육대학교,대학,교육대학,국립,기존,부산,동남권,비수도권,1360,소규모,1
2026,0000011,부산대학교,대학,대학교,국립,기존,부산,동남권,비수도권,20443,대규모,1
2026,0000569,부산보건대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,2506,중규모,1
2026,0000314,부산여자대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,1847,소규모,1
2026,0000388,부산예술대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,103,소규모,1
2026,0000083,부산외국어대학교,대학,대학교,사립,기존,부산,동남권,비수도권,6629,중규모,1
2026,0000167,부산장신대학교,대학,대학교,사립,기존,경남,동남권,비수도권,117,소규모,1
2026,0000316,부천대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,7109,대규모,1
2026,0000084,삼육대학교,대학,대학교,사립,기존,서울,수도권,수도권,5623,중규모,1
2026,0000317,삼육보건대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,1546,소규모,1
2026,0000085,상명대학교,대학,대학교,사립,기존,서울,수도권,수도권,11690,대규모,2
2026,0000086,상지대학교,대학,대학교,사립,기존,강원,강원권,비수도권,5729,중규모,1
2026,0000087,서강대학교,대학,대학교,사립,기존,서울,수도권,수도권,8891,중규모,1
2026,0000088,서경대학교,대학,대학교,사립,기존,서울,수도권,수도권,7043,중규모,1
2026,0000320,서영대학교,전문대학,전문대학,사립,기존,광주,서남권,비수도권,6198,대규모,1
2026,0000027,서울과학기술대학교,대학,대학교,국립,기존,서울,수도권,수도권,10914,대규모,1
2026,0000199,서울교육대학교,대학,교육대학,국립,기존,서울,수도권,수도권,1270,소규모,1
2026,0000069,서울기독대학교,대학,대학교,사립,기존,서울,수도권,수도권,1691,소규모,1
2026,0000012,서울대학교,대학,대학교,국립대법인,기존,서울,수도권,수도권,17439,대규모,1
2026,0000030,서울시립대학교,대학,대학교,공립,기존,서울,수도권,수도권,8927,중규모,1
2026,0000090,서울신학대학교,대학,대학교,사립,기존,경기,수도권,수도권,2250,소규모,1
2026,0000321,서울여자간호대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,907,소규모,1
2026,0000091,서울여자대학교,대학,대학교,사립,기존,서울,수도권,수도권,8236,중규모,1
2026,0000323,서울예술대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3211,중규모,1
2026,0000092,서울장신대학교,대학,대학교,사립,기존,경기,수도권,수도권,800,소규모,1
2026,0000539,서울한영대학교,대학,대학교,사립,기존,서울,수도권,수도권,1181,소규모,1
2026,0000093,서원대학교,대학,대학교,사립,기존,충북,충청권,비수도권,8127,중규모,1
2026,0000324,서일대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,6067,대규모,1
2026,0000392,서정대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,10154,대규모,1
2026,0000380,선린대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,2025,중규모,1
2026,0000094,선문대학교,대학,대학교,사립,기존,충남,충청권,비수도권,8826,중규모,1
2026,0000095,성결대학교,대학,대학교,사립,기존,경기,수도권,수도권,5236,중규모,1
2026,0000096,성공회대학교,대학,대학교,사립,기존,서울,수도권,수도권,2355,소규모,1
2026,0000097,성균관대학교,대학,대학교,사립,기존,서울,수도권,수도권,20257,대규모,1
2026,0000098,성신여자대학교,대학,대학교,사립,기존,서울,수도권,수도권,9788,중규모,1
2026,0000547,성운대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,1646,소규모,1
2026,0000348,세경대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,781,소규모,1
2026,0000099,세명대학교,대학,대학교,사립,기존,충북,충청권,비수도권,5697,중규모,1
2026,0000100,세종대학교,대학,대학교,사립,기존,서울,수도권,수도권,13874,대규모,1
2026,0000064,세한대학교,대학,대학교,사립,기존,전남,서남권,비수도권,3046,소규모,1
2026,0000393,송곡대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,2359,중규모,1
2026,0000187,송원대학교,대학,대학교,사립,기존,광주,서남권,비수도권,2467,소규모,1
2026,0000390,송호대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,929,소규모,1
